frame,timestamp_sec,player_id,visibility_mean,visibility_min,visibility_left_arm,visibility_right_arm,angle_trunk_lean,angle_elbow_dom,angle_elbow_left,angle_elbow_right,angle_knee_front,angle_knee_back,com_height,hand_height,hand_height_left,hand_height_right,stance_length,v_hand_speed,v_hand_speed_left,v_hand_speed_right,v_torso_x,v_com_y
800,16.0,1,0.8595,0.3796,0.5982,0.9797,-19.94,74.9,65.36,74.9,140.29,141.35,0.461,0.4745,0.5178,0.4745,0.0396,0.1605,0.1347,0.1605,-0.0652,0.054
800,16.0,2,0.8234,0.3614,0.8862,0.5962,20.18,71.25,71.25,124.98,124.76,134.72,0.42,0.4387,0.4387,0.4754,0.0083,0.2189,0.2189,0.2125,-0.0613,0.0167
808,16.16,1,0.855,0.3783,0.5954,0.9764,-21.16,88.64,79.72,88.64,152.68,159.7,0.4736,0.4717,0.5179,0.4717,0.0348,0.1879,0.0415,0.1879,-0.0652,0.0784
808,16.16,2,0.8338,0.4167,0.8963,0.6316,22.6,79.1,79.1,154.04,65.35,173.07,0.4408,0.4734,0.4734,0.4952,0.0549,0.2298,0.2298,0.3059,-0.1391,0.1299
816,16.32,1,0.8564,0.3985,0.5996,0.9773,-18.47,120.45,85.36,120.45,171.74,151.45,0.4721,0.4542,0.5182,0.4542,0.018,0.2019,0.0634,0.2019,-0.0548,-0.0092
816,16.32,2,0.8469,0.4678,0.9054,0.6642,23.69,95.56,95.56,150.05,79.25,174.91,0.4552,0.486,0.486,0.4941,0.0817,0.1254,0.1254,0.0093,-0.069,0.0897
824,16.48,1,0.8596,0.4262,0.6116,0.9781,-18.29,110.09,137.15,110.09,154.02,151.81,0.4773,0.4676,0.5364,0.4676,0.0394,0.0842,0.1474,0.0842,0.0046,0.0326
824,16.48,2,0.8556,0.5143,0.9135,0.6932,25.97,106.01,106.01,129.45,155.06,172.1,0.4608,0.4805,0.4805,0.496,0.0253,0.0404,0.0404,0.1837,0.095,0.0353
832,16.64,1,0.8641,0.4082,0.6132,0.9792,-20.4,132.21,109.9,132.21,175.62,154.85,0.4747,0.4671,0.5396,0.4671,0.0787,0.3123,0.16,0.3123,0.068,-0.0163
832,16.64,2,0.862,0.5523,0.9198,0.7161,24.39,122.72,122.72,135.88,133.13,167.52,0.458,0.4557,0.4557,0.4958,0.0177,0.1553,0.1553,0.0876,0.0762,-0.0177
840,16.8,1,0.8734,0.4584,0.6472,0.9808,-17.75,106.79,155.47,106.79,178.15,147.05,0.4594,0.4713,0.545,0.4713,0.0792,0.1374,0.1202,0.1374,0.0932,-0.0957
840,16.8,2,0.8581,0.5639,0.9231,0.7217,28.31,106.71,106.71,156.3,136.98,149.18,0.4524,0.445,0.445,0.4863,0.0137,0.0794,0.0794,0.1417,0.0732,-0.0351
848,16.96,1,0.8788,0.4796,0.6664,0.9823,-16.4,100.51,68.44,100.51,155.71,157.19,0.4834,0.4842,0.5563,0.4842,0.0701,0.2096,0.0734,0.2096,-0.0873,0.1497
848,16.96,2,0.8433,0.5283,0.9027,0.6955,30.3,65.04,65.04,161.06,72.69,146.95,0.4391,0.4297,0.4297,0.4383,0.0301,0.1406,0.1406,0.3132,0.0364,-0.0832
856,17.12,1,0.8694,0.4543,0.6474,0.9723,-16.42,76.66,34.84,76.66,159.95,151.76,0.4918,0.4963,0.5641,0.4963,0.0382,0.255,0.0498,0.255,-0.1032,0.0529
856,17.12,2,0.8477,0.5572,0.9077,0.7136,21.89,85.64,85.64,166.89,96.03,141.74,0.4304,0.4353,0.4353,0.4916,0.0135,0.1529,0.1529,0.3344,0.0177,-0.0543
864,17.28,1,0.8673,0.4342,0.6289,0.9737,-17.17,123.08,89.29,123.08,141.03,133.37,0.5002,0.4828,0.5532,0.4828,0.0003,0.1678,0.0821,0.1678,-0.1235,0.0523
864,17.28,2,0.8565,0.5817,0.9155,0.7283,16.37,162.94,162.94,143.51,129.36,127.84,0.4286,0.3678,0.3678,0.4953,0.0091,0.4787,0.4787,0.05,0.0076,-0.0112
872,17.44,1,0.8557,0.3986,0.6039,0.9574,-18.06,171.2,143.78,171.2,149.35,123.63,0.5057,0.5032,0.521,0.5032,0.0108,0.1713,0.2251,0.1713,-0.0839,0.0347
872,17.44,2,0.8486,0.5797,0.9136,0.7239,11.97,109.7,109.7,168.35,96.31,134.67,0.4039,0.3802,0.3802,0.5152,0.0028,0.1699,0.1699,0.1442,0.0585,-0.1543
880,17.6,1,0.8536,0.376,0.6001,0.9561,-19.65,120.84,53.74,120.84,170.9,132.22,0.5442,0.5782,0.6264,0.5782,0.0171,0.4912,0.6948,0.4912,-0.0412,0.2401
880,17.6,2,0.8423,0.5444,0.9049,0.6977,16.01,86.56,86.56,70.14,151.4,138.33,0.3972,0.3984,0.3984,0.4824,0.0422,0.1271,0.1271,0.2572,0.157,-0.0418
888,17.76,1,0.8609,0.4079,0.6263,0.9594,-13.74,111.01,137.17,111.01,146.49,104.14,0.5666,0.5859,0.6407,0.5859,0.032,0.0515,0.1424,0.0515,0.0198,0.1402
888,17.76,2,0.8331,0.5047,0.9025,0.6709,15.86,105.51,105.51,91.18,144.56,110.41,0.3643,0.3684,0.3684,0.4294,0.0262,0.2416,0.2416,0.3812,0.145,-0.2057
896,17.92,1,0.8537,0.3761,0.6015,0.954,-10.7,102.94,102.91,102.94,134.52,63.69,0.5655,0.5733,0.5886,0.5733,0.0284,0.2141,0.406,0.2141,0.0013,-0.0065
896,17.92,2,0.8348,0.518,0.9109,0.6803,17.72,100.76,100.76,148.4,151.86,158.27,0.3479,0.3751,0.3751,0.4297,0.0013,0.1806,0.1806,0.072,0.1231,-0.1027
904,18.08,1,0.8619,0.4117,0.623,0.9574,-8.05,141.22,168.28,141.22,159.34,93.13,0.5679,0.5429,0.5818,0.5429,0.0396,0.2818,0.0582,0.2818,-0.0381,0.0149
904,18.08,2,0.8431,0.5283,0.9189,0.7069,21.4,87.14,87.14,176.31,166.72,160.52,0.349,0.3931,0.3931,0.4269,0.0005,0.3021,0.3021,0.0866,0.1068,0.007
912,18.24,1,0.8666,0.4619,0.656,0.9603,-7.63,123.96,52.3,123.96,158.49,95.62,0.5501,0.5302,0.5794,0.5302,0.0425,0.1081,0.0267,0.1081,-0.0489,-0.1116
912,18.24,2,0.8454,0.5289,0.9245,0.7064,22.61,147.23,147.23,170.3,152.96,158.64,0.3323,0.3296,0.3296,0.4041,0.0001,0.4114,0.4114,0.3188,0.0643,-0.1046
920,18.4,1,0.8711,0.4776,0.662,0.9635,-5.43,120.41,114.66,120.41,164.95,120.18,0.5628,0.5934,0.654,0.5934,0.0425,0.4704,0.4984,0.4704,-0.0511,0.0795
920,18.4,2,0.846,0.5209,0.9301,0.7028,18.21,110.57,110.57,174.11,155.62,159.56,0.3602,0.3725,0.3725,0.4421,0.0013,0.3048,0.3048,0.2377,-0.0408,0.1749
928,18.56,1,0.8746,0.4651,0.6483,0.9659,-2.65,129.42,112.8,129.42,160.21,106.82,0.5682,0.5796,0.6488,0.5796,0.0396,0.0942,0.0329,0.0942,0.0074,0.0337
